,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,0.009448004,0.001418424,0.00371089,0.000366624,0.5,3,scale,sigmoid,"{'C': 0.5, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.704081633,0.693877551,0.744897959,0.744897959,0.704081633,0.718367347,0.021980265,44
19,0.008366537,0.000498594,0.003602123,0.000790703,0.5,4,scale,sigmoid,"{'C': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.704081633,0.693877551,0.744897959,0.744897959,0.704081633,0.718367347,0.021980265,44
24,0.005376768,0.000487902,0.002392626,0.000490198,1,2,scale,linear,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.704081633,0.693877551,0.744897959,0.704081633,0.744897959,0.718367347,0.021980265,44
27,0.007979774,0.000622024,0.003189993,0.000730986,1,2,scale,sigmoid,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.714285714,0.693877551,0.704081633,0.734693878,0.744897959,0.718367347,0.018925752,44
28,0.005386829,0.00048891,0.002193928,0.000385443,1,2,auto,linear,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.704081633,0.693877551,0.744897959,0.704081633,0.744897959,0.718367347,0.021980265,44
32,0.005591726,0.000489281,0.002192879,0.000393447,1,3,scale,linear,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.704081633,0.693877551,0.744897959,0.704081633,0.744897959,0.718367347,0.021980265,44
35,0.007788944,0.000393021,0.003590822,0.000489947,1,3,scale,sigmoid,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.714285714,0.693877551,0.704081633,0.734693878,0.744897959,0.718367347,0.018925752,44
36,0.00537529,0.000493999,0.002400446,0.000488938,1,3,auto,linear,"{'C': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.704081633,0.693877551,0.744897959,0.704081633,0.744897959,0.718367347,0.021980265,44
40,0.005579185,0.000483038,0.002193737,0.000385492,1,4,scale,linear,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.704081633,0.693877551,0.744897959,0.704081633,0.744897959,0.718367347,0.021980265,44
43,0.0077847,0.000733031,0.002985716,0.00062226,1,4,scale,sigmoid,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.714285714,0.693877551,0.704081633,0.734693878,0.744897959,0.718367347,0.018925752,44
44,0.005390978,0.000484417,0.002393103,0.000476425,1,4,auto,linear,"{'C': 1, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear'}",0.704081633,0.693877551,0.744897959,0.704081633,0.744897959,0.718367347,0.021980265,44
78,0.013180923,0.000741945,0.005768061,0.000391752,5,2,auto,rbf,"{'C': 5, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.714285714,0.683673469,0.744897959,0.704081633,0.744897959,0.718367347,0.023799804,44
86,0.013154221,0.000404286,0.005596542,0.000476327,5,3,auto,rbf,"{'C': 5, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.714285714,0.683673469,0.744897959,0.704081633,0.744897959,0.718367347,0.023799804,44
94,0.013369179,0.001351154,0.00538559,0.00079819,5,4,auto,rbf,"{'C': 5, 'degree': 4, 'gamma': 'auto', 'kernel': 'rbf'}",0.714285714,0.683673469,0.744897959,0.704081633,0.744897959,0.718367347,0.023799804,44
151,0.007581568,0.00049082,0.002792025,0.000755285,100,2,auto,sigmoid,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.683673469,0.714285714,0.744897959,0.693877551,0.755102041,0.718367347,0.027833024,44
159,0.007375669,0.000480384,0.002995729,0.000631505,100,3,auto,sigmoid,"{'C': 100, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.683673469,0.714285714,0.744897959,0.693877551,0.755102041,0.718367347,0.027833024,44
167,0.007973623,0.000632975,0.002206469,0.000407735,100,4,auto,sigmoid,"{'C': 100, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.683673469,0.714285714,0.744897959,0.693877551,0.755102041,0.718367347,0.027833024,44
55,0.010759449,0.000744008,0.003003836,0.00089876,2,2,auto,sigmoid,"{'C': 2, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.714285714,0.683673469,0.755102041,0.724489796,0.714285714,0.718367347,0.022908106,62
63,0.010181904,0.000408381,0.003785372,0.000399556,2,3,auto,sigmoid,"{'C': 2, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.714285714,0.683673469,0.755102041,0.724489796,0.714285714,0.718367347,0.022908106,62
